source_file,file_sha256,file_kind,station_id,station_name,sheets,parsed_sheet,row_count_raw,column_count,date_min,date_max,duplicate_date_count,date_validation_status,date_validation_note,date_encoding_set,nonmonotonic_parsed_date_steps,date_repair_count,variables,units,raw_columns,missing_counts_by_column
raw_data/la_poza/Boya La Poza dic 2024-marzo 2025.xls,2d4cf44a680e574c730fb825329e6109aa14c2b6fb90006938522c671a0bc864,html_xls,la_poza,La Poza,html_table_1,html_table_1,91,20,2024-12-19,2025-03-19,0,ok,Parsed date values are usable.,slash_dmy,0,0,chlorophyll_a; dissolved_organic_matter; dissolved_oxygen_saturation; pH; phycocyanin; water_temperature,%; QSU; degC; pH; ug/L,Nro. | Fecha-Hora de Medicion | LAGO VILLARRPH (ph)Min | LAGO VILLARRPH (ph)Max | LAGO VILLARRPH (ph)Media | LAGO VILLARRTemp. Sonda (ºC)Min | LAGO VILLARRTemp. Sonda (ºC)Max | LAGO VILLARRTemp. Sonda (ºC)Media | LAGO VILLARROxígeno Disuelto 1 (%)Min | LAGO VILLARROxígeno Disuelto 1 (%)Max | LAGO VILLARROxígeno Disuelto 1 (%)Media | LAGO VILLARRClorofila (ug/L)Min | LAGO VILLARRClorofila (ug/L)Max | LAGO VILLARRClorofila (ug/L)Media | LAGO VILLARRMateria organica disuelta (QSU)Min | LAGO VILLARRMateria organica disuelta (QSU)Max | LAGO VILLARRMateria organica disuelta (QSU)Media | LAGO VILLARRFicocianina (ug/lt)Min | LAGO VILLARRFicocianina (ug/lt)Max | LAGO VILLARRFicocianina (ug/lt)Media,
raw_data/la_poza/la poza (3).xls,9c11df907b2e791e3ae10c1e109d40aa2007d8492889da1c9e359ae2756712ab,html_xls,la_poza,La Poza,html_table_1,html_table_1,91,20,2023-05-06,2023-08-06,0,ok,Parsed date values are usable.,slash_dmy,0,0,chlorophyll_a; dissolved_organic_matter; dissolved_oxygen; phycocyanin; turbidity; water_temperature,NTU; QSU; degC; ppm; ug/L,Nro. | Fecha-Hora de Medicion | LAGO VILLARRTurbiedad (NTU)Min | LAGO VILLARRTurbiedad (NTU)Max | LAGO VILLARRTurbiedad (NTU)Media | LAGO VILLARRTemp. Sonda (ºC)Min | LAGO VILLARRTemp. Sonda (ºC)Max | LAGO VILLARRTemp. Sonda (ºC)Media | LAGO VILLARROxígeno Disuelto 2 (ppm)Min | LAGO VILLARROxígeno Disuelto 2 (ppm)Max | LAGO VILLARROxígeno Disuelto 2 (ppm)Media | LAGO VILLARRClorofila (ug/L)Min | LAGO VILLARRClorofila (ug/L)Max | LAGO VILLARRClorofila (ug/L)Media | LAGO VILLARRMateria organica disuelta (QSU)Min | LAGO VILLARRMateria organica disuelta (QSU)Max | LAGO VILLARRMateria organica disuelta (QSU)Media | LAGO VILLARRFicocianina (ug/lt)Min | LAGO VILLARRFicocianina (ug/lt)Max | LAGO VILLARRFicocianina (ug/lt)Media,LAGO VILLARROxígeno Disuelto 2 (ppm)Min:91 | LAGO VILLARROxígeno Disuelto 2 (ppm)Max:91 | LAGO VILLARROxígeno Disuelto 2 (ppm)Media:91
raw_data/la_poza/la poza (4).xls,716e34a6f40085f9a4e80088561271fcaad5abf0e975b28f91657147b2781a48,html_xls,la_poza,La Poza,html_table_1,html_table_1,93,20,2023-07-06,2023-10-06,0,ok,Parsed date values are usable.,slash_dmy,0,0,chlorophyll_a; dissolved_organic_matter; dissolved_oxygen; phycocyanin; turbidity; water_temperature,NTU; QSU; degC; ppm; ug/L,Nro. | Fecha-Hora de Medicion | LAGO VILLARRTurbiedad (NTU)Min | LAGO VILLARRTurbiedad (NTU)Max | LAGO VILLARRTurbiedad (NTU)Media | LAGO VILLARRTemp. Sonda (ºC)Min | LAGO VILLARRTemp. Sonda (ºC)Max | LAGO VILLARRTemp. Sonda (ºC)Media | LAGO VILLARROxígeno Disuelto 2 (ppm)Min | LAGO VILLARROxígeno Disuelto 2 (ppm)Max | LAGO VILLARROxígeno Disuelto 2 (ppm)Media | LAGO VILLARRClorofila (ug/L)Min | LAGO VILLARRClorofila (ug/L)Max | LAGO VILLARRClorofila (ug/L)Media | LAGO VILLARRMateria organica disuelta (QSU)Min | LAGO VILLARRMateria organica disuelta (QSU)Max | LAGO VILLARRMateria organica disuelta (QSU)Media | LAGO VILLARRFicocianina (ug/lt)Min | LAGO VILLARRFicocianina (ug/lt)Max | LAGO VILLARRFicocianina (ug/lt)Media,LAGO VILLARROxígeno Disuelto 2 (ppm)Min:93 | LAGO VILLARROxígeno Disuelto 2 (ppm)Max:93 | LAGO VILLARROxígeno Disuelto 2 (ppm)Media:93
raw_data/la_poza/la poza (5).xls,125594adc0e3a19b15d1797f2822b31b20b8fea3ac069bc042789f0b8564553b,html_xls,la_poza,La Poza,html_table_1,html_table_1,75,20,2023-10-06,2023-12-19,0,ok,Parsed date values are usable.,slash_dmy,0,0,chlorophyll_a; dissolved_organic_matter; dissolved_oxygen; phycocyanin; turbidity; water_temperature,NTU; QSU; degC; ppm; ug/L,Nro. | Fecha-Hora de Medicion | LAGO VILLARRTurbiedad (NTU)Min | LAGO VILLARRTurbiedad (NTU)Max | LAGO VILLARRTurbiedad (NTU)Media | LAGO VILLARRTemp. Sonda (ºC)Min | LAGO VILLARRTemp. Sonda (ºC)Max | LAGO VILLARRTemp. Sonda (ºC)Media | LAGO VILLARROxígeno Disuelto 2 (ppm)Min | LAGO VILLARROxígeno Disuelto 2 (ppm)Max | LAGO VILLARROxígeno Disuelto 2 (ppm)Media | LAGO VILLARRClorofila (ug/L)Min | LAGO VILLARRClorofila (ug/L)Max | LAGO VILLARRClorofila (ug/L)Media | LAGO VILLARRMateria organica disuelta (QSU)Min | LAGO VILLARRMateria organica disuelta (QSU)Max | LAGO VILLARRMateria organica disuelta (QSU)Media | LAGO VILLARRFicocianina (ug/lt)Min | LAGO VILLARRFicocianina (ug/lt)Max | LAGO VILLARRFicocianina (ug/lt)Media,LAGO VILLARROxígeno Disuelto 2 (ppm)Min:75 | LAGO VILLARROxígeno Disuelto 2 (ppm)Max:75 | LAGO VILLARROxígeno Disuelto 2 (ppm)Media:75
raw_data/la_poza/la poza 1.xls,b67239b184d3832e2717af3459d8c26eb5398004fca585362b342ee337a8296f,html_xls,la_poza,La Poza,html_table_1,html_table_1,38,20,2022-10-04,2022-11-18,0,ok,Parsed date values are usable.,slash_dmy,0,0,chlorophyll_a; dissolved_organic_matter; dissolved_oxygen; phycocyanin; turbidity; water_temperature,NTU; QSU; degC; ppm; ug/L,Nro. | Fecha-Hora de Medicion | LAGO VILLARRTurbiedad (NTU)Min | LAGO VILLARRTurbiedad (NTU)Max | LAGO VILLARRTurbiedad (NTU)Media | LAGO VILLARRTemp. Sonda (ºC)Min | LAGO VILLARRTemp. Sonda (ºC)Max | LAGO VILLARRTemp. Sonda (ºC)Media | LAGO VILLARROxígeno Disuelto 2 (ppm)Min | LAGO VILLARROxígeno Disuelto 2 (ppm)Max | LAGO VILLARROxígeno Disuelto 2 (ppm)Media | LAGO VILLARRClorofila (ug/L)Min | LAGO VILLARRClorofila (ug/L)Max | LAGO VILLARRClorofila (ug/L)Media | LAGO VILLARRMateria organica disuelta (QSU)Min | LAGO VILLARRMateria organica disuelta (QSU)Max | LAGO VILLARRMateria organica disuelta (QSU)Media | LAGO VILLARRFicocianina (ug/lt)Min | LAGO VILLARRFicocianina (ug/lt)Max | LAGO VILLARRFicocianina (ug/lt)Media,
raw_data/la_poza/La poza feb-mayo 2025.xls,64d236c2e8ebfea316570321384f44664f632e1343b9286a8df9a941fe90d545,html_xls,la_poza,La Poza,html_table_1,html_table_1,90,20,2025-02-09,2025-05-09,0,ok,Parsed date values are usable.,slash_dmy,0,0,chlorophyll_a; dissolved_organic_matter; dissolved_oxygen; pH; phycocyanin; water_temperature,QSU; degC; pH; ppm; ug/L,Nro. | Fecha-Hora de Medicion | LAGO VILLARRPH (ph)Min | LAGO VILLARRPH (ph)Max | LAGO VILLARRPH (ph)Media | LAGO VILLARRTemp. Sonda (ºC)Min | LAGO VILLARRTemp. Sonda (ºC)Max | LAGO VILLARRTemp. Sonda (ºC)Media | LAGO VILLARROxígeno Disuelto 2 (ppm)Min | LAGO VILLARROxígeno Disuelto 2 (ppm)Max | LAGO VILLARROxígeno Disuelto 2 (ppm)Media | LAGO VILLARRClorofila (ug/L)Min | LAGO VILLARRClorofila (ug/L)Max | LAGO VILLARRClorofila (ug/L)Media | LAGO VILLARRMateria organica disuelta (QSU)Min | LAGO VILLARRMateria organica disuelta (QSU)Max | LAGO VILLARRMateria organica disuelta (QSU)Media | LAGO VILLARRFicocianina (ug/lt)Min | LAGO VILLARRFicocianina (ug/lt)Max | LAGO VILLARRFicocianina (ug/lt)Media,
raw_data/la_poza/la poza(2).xls,84d89a672df987ede52aeb2c894a06dcd8e364cb8b66d93580e412dc647248c7,html_xls,la_poza,La Poza,html_table_1,html_table_1,38,20,2022-10-13,2023-01-06,0,ok,Parsed date values are usable.,slash_dmy,0,0,chlorophyll_a; dissolved_organic_matter; dissolved_oxygen; phycocyanin; turbidity; water_temperature,NTU; QSU; degC; ppm; ug/L,Nro. | Fecha-Hora de Medicion | LAGO VILLARRTurbiedad (NTU)Min | LAGO VILLARRTurbiedad (NTU)Max | LAGO VILLARRTurbiedad (NTU)Media | LAGO VILLARRTemp. Sonda (ºC)Min | LAGO VILLARRTemp. Sonda (ºC)Max | LAGO VILLARRTemp. Sonda (ºC)Media | LAGO VILLARROxígeno Disuelto 2 (ppm)Min | LAGO VILLARROxígeno Disuelto 2 (ppm)Max | LAGO VILLARROxígeno Disuelto 2 (ppm)Media | LAGO VILLARRClorofila (ug/L)Min | LAGO VILLARRClorofila (ug/L)Max | LAGO VILLARRClorofila (ug/L)Media | LAGO VILLARRMateria organica disuelta (QSU)Min | LAGO VILLARRMateria organica disuelta (QSU)Max | LAGO VILLARRMateria organica disuelta (QSU)Media | LAGO VILLARRFicocianina (ug/lt)Min | LAGO VILLARRFicocianina (ug/lt)Max | LAGO VILLARRFicocianina (ug/lt)Media,LAGO VILLARRTemp. Sonda (ºC)Min:1 | LAGO VILLARRTemp. Sonda (ºC)Max:1 | LAGO VILLARRTemp. Sonda (ºC)Media:1 | LAGO VILLARROxígeno Disuelto 2 (ppm)Min:1 | LAGO VILLARROxígeno Disuelto 2 (ppm)Max:1 | LAGO VILLARROxígeno Disuelto 2 (ppm)Media:1 | LAGO VILLARRClorofila (ug/L)Min:1 | LAGO VILLARRClorofila (ug/L)Max:1 | LAGO VILLARRClorofila (ug/L)Media:1 | LAGO VILLARRMateria organica disuelta (QSU)Min:1 | LAGO VILLARRMateria organica disuelta (QSU)Max:1 | LAGO VILLARRMateria organica disuelta (QSU)Media:1 | LAGO VILLARRFicocianina (ug/lt)Min:1 | LAGO VILLARRFicocianina (ug/lt)Max:1 | LAGO VILLARRFicocianina (ug/lt)Media:1
raw_data/la_poza/la poza(6).xls,f408572c42fcb68aaa57a9d43fd1808ca8cf42c482c2374c0fb91d8d66dcf67b,html_xls,la_poza,La Poza,html_table_1,html_table_1,43,20,2023-12-06,2024-03-06,0,ok,Parsed date values are usable.,slash_dmy,0,0,chlorophyll_a; dissolved_organic_matter; dissolved_oxygen; phycocyanin; turbidity; water_temperature,NTU; QSU; degC; ppm; ug/L,Nro. | Fecha-Hora de Medicion | LAGO VILLARRTurbiedad (NTU)Min | LAGO VILLARRTurbiedad (NTU)Max | LAGO VILLARRTurbiedad (NTU)Media | LAGO VILLARRTemp. Sonda (ºC)Min | LAGO VILLARRTemp. Sonda (ºC)Max | LAGO VILLARRTemp. Sonda (ºC)Media | LAGO VILLARROxígeno Disuelto 2 (ppm)Min | LAGO VILLARROxígeno Disuelto 2 (ppm)Max | LAGO VILLARROxígeno Disuelto 2 (ppm)Media | LAGO VILLARRClorofila (ug/L)Min | LAGO VILLARRClorofila (ug/L)Max | LAGO VILLARRClorofila (ug/L)Media | LAGO VILLARRMateria organica disuelta (QSU)Min | LAGO VILLARRMateria organica disuelta (QSU)Max | LAGO VILLARRMateria organica disuelta (QSU)Media | LAGO VILLARRFicocianina (ug/lt)Min | LAGO VILLARRFicocianina (ug/lt)Max | LAGO VILLARRFicocianina (ug/lt)Media,LAGO VILLARROxígeno Disuelto 2 (ppm)Min:43 | LAGO VILLARROxígeno Disuelto 2 (ppm)Max:43 | LAGO VILLARROxígeno Disuelto 2 (ppm)Media:43
raw_data/la_poza/la poza(7).xls,569c47506cde14048ddac82aac4a7167d60e3febda015e2f7e791e2e1aad359c,html_xls,la_poza,La Poza,html_table_1,html_table_1,89,20,2024-02-07,2024-05-06,0,ok,Parsed date values are usable.,slash_dmy,0,0,chlorophyll_a; dissolved_organic_matter; dissolved_oxygen; phycocyanin; turbidity; water_temperature,NTU; QSU; degC; ppm; ug/L,Nro. | Fecha-Hora de Medicion | LAGO VILLARRTurbiedad (NTU)Min | LAGO VILLARRTurbiedad (NTU)Max | LAGO VILLARRTurbiedad (NTU)Media | LAGO VILLARRTemp. Sonda (ºC)Min | LAGO VILLARRTemp. Sonda (ºC)Max | LAGO VILLARRTemp. Sonda (ºC)Media | LAGO VILLARROxígeno Disuelto 2 (ppm)Min | LAGO VILLARROxígeno Disuelto 2 (ppm)Max | LAGO VILLARROxígeno Disuelto 2 (ppm)Media | LAGO VILLARRClorofila (ug/L)Min | LAGO VILLARRClorofila (ug/L)Max | LAGO VILLARRClorofila (ug/L)Media | LAGO VILLARRMateria organica disuelta (QSU)Min | LAGO VILLARRMateria organica disuelta (QSU)Max | LAGO VILLARRMateria organica disuelta (QSU)Media | LAGO VILLARRFicocianina (ug/lt)Min | LAGO VILLARRFicocianina (ug/lt)Max | LAGO VILLARRFicocianina (ug/lt)Media,LAGO VILLARROxígeno Disuelto 2 (ppm)Min:89 | LAGO VILLARROxígeno Disuelto 2 (ppm)Max:89 | LAGO VILLARROxígeno Disuelto 2 (ppm)Media:89
raw_data/la_poza/la poza.xls,a09acaa0fb590296186916752790a3611d2266109d223d8b744ce2c63dc52a22,html_xls,la_poza,La Poza,html_table_1,html_table_1,2,20,2022-08-22,2022-10-04,0,ok,Parsed date values are usable.,slash_dmy,0,0,chlorophyll_a; dissolved_organic_matter; dissolved_oxygen; phycocyanin; turbidity; water_temperature,NTU; QSU; degC; ppm; ug/L,Nro. | Fecha-Hora de Medicion | LAGO VILLARRTurbiedad (NTU)Min | LAGO VILLARRTurbiedad (NTU)Max | LAGO VILLARRTurbiedad (NTU)Media | LAGO VILLARRTemp. Sonda (ºC)Min | LAGO VILLARRTemp. Sonda (ºC)Max | LAGO VILLARRTemp. Sonda (ºC)Media | LAGO VILLARROxígeno Disuelto 2 (ppm)Min | LAGO VILLARROxígeno Disuelto 2 (ppm)Max | LAGO VILLARROxígeno Disuelto 2 (ppm)Media | LAGO VILLARRClorofila (ug/L)Min | LAGO VILLARRClorofila (ug/L)Max | LAGO VILLARRClorofila (ug/L)Media | LAGO VILLARRMateria organica disuelta (QSU)Min | LAGO VILLARRMateria organica disuelta (QSU)Max | LAGO VILLARRMateria organica disuelta (QSU)Media | LAGO VILLARRFicocianina (ug/lt)Min | LAGO VILLARRFicocianina (ug/lt)Max | LAGO VILLARRFicocianina (ug/lt)Media,
