station_id,station_name,origin_date,context_start,context_end,context_length_used,first_target_date,last_target_date,prediction_length_days
la_poza,La Poza,2023-12-31,2022-08-22,2023-12-31,497,2024-01-01,2024-01-30,30
la_poza,La Poza,2024-01-14,2022-08-22,2024-01-14,511,2024-01-15,2024-02-13,30
la_poza,La Poza,2024-01-28,2022-08-22,2024-01-28,525,2024-01-29,2024-02-27,30
la_poza,La Poza,2024-02-11,2022-08-22,2024-02-11,539,2024-02-12,2024-03-12,30
la_poza,La Poza,2024-02-25,2022-08-22,2024-02-25,553,2024-02-26,2024-03-26,30
la_poza,La Poza,2024-03-10,2022-08-22,2024-03-10,567,2024-03-11,2024-04-09,30
la_poza,La Poza,2024-03-24,2022-08-22,2024-03-24,581,2024-03-25,2024-04-23,30
la_poza,La Poza,2024-04-07,2022-08-22,2024-04-07,595,2024-04-08,2024-05-07,30
la_poza,La Poza,2024-04-21,2022-08-22,2024-04-21,609,2024-04-22,2024-05-21,30
la_poza,La Poza,2024-05-05,2022-08-22,2024-05-05,623,2024-05-06,2024-06-04,30
la_poza,La Poza,2024-05-19,2022-08-22,2024-05-19,637,2024-05-20,2024-06-18,30
la_poza,La Poza,2024-06-02,2022-08-22,2024-06-02,651,2024-06-03,2024-07-02,30
la_poza,La Poza,2024-06-16,2022-08-22,2024-06-16,665,2024-06-17,2024-07-16,30
la_poza,La Poza,2024-06-30,2022-08-22,2024-06-30,679,2024-07-01,2024-07-30,30
la_poza,La Poza,2024-07-14,2022-08-22,2024-07-14,693,2024-07-15,2024-08-13,30
la_poza,La Poza,2024-07-28,2022-08-22,2024-07-28,707,2024-07-29,2024-08-27,30
la_poza,La Poza,2024-08-11,2022-08-22,2024-08-11,721,2024-08-12,2024-09-10,30
la_poza,La Poza,2024-08-25,2022-08-22,2024-08-25,735,2024-08-26,2024-09-24,30
la_poza,La Poza,2024-09-08,2022-08-22,2024-09-08,749,2024-09-09,2024-10-08,30
la_poza,La Poza,2024-09-22,2022-08-22,2024-09-22,763,2024-09-23,2024-10-22,30
la_poza,La Poza,2024-10-06,2022-08-22,2024-10-06,777,2024-10-07,2024-11-05,30
la_poza,La Poza,2024-10-20,2022-08-22,2024-10-20,791,2024-10-21,2024-11-19,30
la_poza,La Poza,2024-11-03,2022-08-22,2024-11-03,805,2024-11-04,2024-12-03,30
la_poza,La Poza,2024-11-17,2022-08-22,2024-11-17,819,2024-11-18,2024-12-17,30
la_poza,La Poza,2024-12-01,2022-08-22,2024-12-01,833,2024-12-02,2024-12-31,30
pucon,Pucón,2023-12-31,2021-07-28,2023-12-31,887,2024-01-01,2024-01-30,30
pucon,Pucón,2024-01-14,2021-07-28,2024-01-14,901,2024-01-15,2024-02-13,30
pucon,Pucón,2024-01-28,2021-07-28,2024-01-28,915,2024-01-29,2024-02-27,30
pucon,Pucón,2024-02-11,2021-07-28,2024-02-11,929,2024-02-12,2024-03-12,30
pucon,Pucón,2024-02-25,2021-07-28,2024-02-25,943,2024-02-26,2024-03-26,30
pucon,Pucón,2024-03-10,2021-07-28,2024-03-10,957,2024-03-11,2024-04-09,30
pucon,Pucón,2024-03-24,2021-07-28,2024-03-24,971,2024-03-25,2024-04-23,30
pucon,Pucón,2024-04-07,2021-07-28,2024-04-07,985,2024-04-08,2024-05-07,30
pucon,Pucón,2024-04-21,2021-07-28,2024-04-21,999,2024-04-22,2024-05-21,30
pucon,Pucón,2024-05-05,2021-07-28,2024-05-05,1013,2024-05-06,2024-06-04,30
pucon,Pucón,2024-05-19,2021-07-31,2024-05-19,1024,2024-05-20,2024-06-18,30
pucon,Pucón,2024-06-02,2021-08-14,2024-06-02,1024,2024-06-03,2024-07-02,30
pucon,Pucón,2024-06-16,2021-08-28,2024-06-16,1024,2024-06-17,2024-07-16,30
pucon,Pucón,2024-06-30,2021-09-11,2024-06-30,1024,2024-07-01,2024-07-30,30
pucon,Pucón,2024-07-14,2021-09-25,2024-07-14,1024,2024-07-15,2024-08-13,30
pucon,Pucón,2024-07-28,2021-10-09,2024-07-28,1024,2024-07-29,2024-08-27,30
pucon,Pucón,2024-08-11,2021-10-23,2024-08-11,1024,2024-08-12,2024-09-10,30
pucon,Pucón,2024-08-25,2021-11-06,2024-08-25,1024,2024-08-26,2024-09-24,30
pucon,Pucón,2024-09-08,2021-11-20,2024-09-08,1024,2024-09-09,2024-10-08,30
pucon,Pucón,2024-09-22,2021-12-04,2024-09-22,1024,2024-09-23,2024-10-22,30
pucon,Pucón,2024-10-06,2021-12-18,2024-10-06,1024,2024-10-07,2024-11-05,30
pucon,Pucón,2024-10-20,2022-01-01,2024-10-20,1024,2024-10-21,2024-11-19,30
pucon,Pucón,2024-11-03,2022-01-15,2024-11-03,1024,2024-11-04,2024-12-03,30
pucon,Pucón,2024-11-17,2022-01-29,2024-11-17,1024,2024-11-18,2024-12-17,30
pucon,Pucón,2024-12-01,2022-02-12,2024-12-01,1024,2024-12-02,2024-12-31,30
