station_id,station_name,month,modeled_daily_count,direct_observation_count,imputed_count,interpolated_count,iqr_outlier_flag_count,outlier_removed_count
la_poza,La Poza,2022-08,10,1,9,9,1,0
la_poza,La Poza,2022-09,30,0,30,5,0,0
la_poza,La Poza,2022-10,31,20,11,8,13,0
la_poza,La Poza,2022-11,30,18,12,12,11,0
la_poza,La Poza,2022-12,31,0,31,2,0,0
la_poza,La Poza,2023-01,31,0,31,0,0,0
la_poza,La Poza,2023-02,28,0,28,0,0,0
la_poza,La Poza,2023-03,31,0,31,0,0,0
la_poza,La Poza,2023-04,30,0,30,0,0,0
la_poza,La Poza,2023-05,31,24,7,2,10,0
la_poza,La Poza,2023-06,30,30,0,0,0,0
la_poza,La Poza,2023-07,31,31,0,0,0,0
la_poza,La Poza,2023-08,31,31,0,0,0,0
la_poza,La Poza,2023-09,30,30,0,0,0,0
la_poza,La Poza,2023-10,31,31,0,0,1,0
la_poza,La Poza,2023-11,30,29,1,1,0,0
la_poza,La Poza,2023-12,31,7,24,19,0,0
la_poza,La Poza,2024-01,31,0,31,0,0,0
la_poza,La Poza,2024-02,29,23,6,0,0,0
la_poza,La Poza,2024-03,31,30,1,1,0,0
la_poza,La Poza,2024-04,30,30,0,0,0,0
la_poza,La Poza,2024-05,31,6,25,14,0,0
la_poza,La Poza,2024-06,30,0,30,0,0,0
la_poza,La Poza,2024-07,31,0,31,0,0,0
la_poza,La Poza,2024-08,31,0,31,0,0,0
la_poza,La Poza,2024-09,30,0,30,0,0,0
la_poza,La Poza,2024-10,31,0,31,0,0,0
la_poza,La Poza,2024-11,30,0,30,0,0,0
la_poza,La Poza,2024-12,31,13,18,0,0,0
la_poza,La Poza,2025-01,31,31,0,0,0,0
la_poza,La Poza,2025-02,28,28,0,0,1,0
la_poza,La Poza,2025-03,31,28,3,3,0,0
la_poza,La Poza,2025-04,30,30,0,0,0,0
la_poza,La Poza,2025-05,9,9,0,0,0,0
pucon,Pucón,2021-01,24,5,19,14,0,0
pucon,Pucón,2021-02,28,5,23,14,0,0
pucon,Pucón,2021-03,31,5,26,14,0,0
pucon,Pucón,2021-04,30,5,25,14,1,0
pucon,Pucón,2021-05,31,5,26,14,0,0
pucon,Pucón,2021-06,30,5,25,14,0,0
pucon,Pucón,2021-07,31,9,22,14,0,0
pucon,Pucón,2021-08,31,24,7,7,0,0
pucon,Pucón,2021-09,30,23,7,7,0,0
pucon,Pucón,2021-10,31,24,7,7,0,0
pucon,Pucón,2021-11,30,23,7,7,7,0
pucon,Pucón,2021-12,31,24,7,7,0,0
pucon,Pucón,2022-01,31,23,8,8,1,0
pucon,Pucón,2022-02,28,20,8,8,16,0
pucon,Pucón,2022-03,31,4,27,21,0,0
pucon,Pucón,2022-04,30,5,25,20,0,0
pucon,Pucón,2022-05,31,4,27,21,0,0
pucon,Pucón,2022-06,30,5,25,20,1,0
pucon,Pucón,2022-07,31,4,27,21,2,0
pucon,Pucón,2022-08,31,4,27,27,2,0
pucon,Pucón,2022-09,30,3,27,22,2,0
pucon,Pucón,2022-10,31,22,9,9,8,0
pucon,Pucón,2022-11,30,9,21,21,4,0
pucon,Pucón,2022-12,31,3,28,22,2,0
pucon,Pucón,2023-01,31,10,21,14,3,0
pucon,Pucón,2023-02,28,26,2,0,18,0
pucon,Pucón,2023-03,31,28,3,3,21,0
pucon,Pucón,2023-04,30,22,8,8,16,0
pucon,Pucón,2023-05,31,26,5,5,6,0
pucon,Pucón,2023-06,30,28,2,2,3,0
pucon,Pucón,2023-07,31,29,2,2,3,0
pucon,Pucón,2023-08,31,29,2,2,3,0
pucon,Pucón,2023-09,30,29,1,1,4,0
pucon,Pucón,2023-10,31,28,3,3,3,0
pucon,Pucón,2023-11,30,28,2,2,3,0
pucon,Pucón,2023-12,31,10,21,16,2,0
pucon,Pucón,2024-01,31,3,28,14,0,0
pucon,Pucón,2024-02,29,20,9,7,0,0
pucon,Pucón,2024-03,31,21,10,10,0,0
pucon,Pucón,2024-04,30,21,9,9,0,0
pucon,Pucón,2024-05,31,3,28,16,0,0
pucon,Pucón,2024-06,30,3,27,14,0,0
pucon,Pucón,2024-07,31,4,27,14,0,0
pucon,Pucón,2024-08,31,4,27,14,0,0
pucon,Pucón,2024-09,30,4,26,14,0,0
pucon,Pucón,2024-10,31,4,27,14,0,0
pucon,Pucón,2024-11,30,3,27,14,0,0
pucon,Pucón,2024-12,31,16,15,14,0,0
pucon,Pucón,2025-01,31,31,0,0,0,0
pucon,Pucón,2025-02,28,28,0,0,1,0
pucon,Pucón,2025-03,31,28,3,3,0,0
pucon,Pucón,2025-04,30,30,0,0,0,0
pucon,Pucón,2025-05,9,9,0,0,0,0
